NUMERO PEDIDO,NUMERO FACTURA,COD-ART,ESTATUS LINEA,ESTATUS LINEA FDV,CANT PEDIDA,CANTIDAD ART,VENTA DOLARES
P061406426041760527,0076236,21-01-156,DESPACHADO,DESPACHADO,4.0,4.0,11.446
P061406426041760527,0076236,09-13-270,DESPACHADO,DESPACHADO,4.0,4.0,9.6224
P061406426041760527,0076236,09-07-047,DESPACHADO,DESPACHADO,6.0,6.0,8.0898
P061406426041760527,0076236,09-13-232,DESPACHADO,DESPACHADO,2.0,2.0,11.68
P061406426041760527,0076236,21-01-126,DESPACHADO,DESPACHADO,2.0,2.0,12.26
P061406426041760527,0076236,09-19-061,DESPACHADO,DESPACHADO,2.0,2.0,12.98
P061406426041760527,0076236,09-16-195,DESPACHADO,DESPACHADO,19.0,19.0,15.39
P061406426041760527,0076233,09-31-086,DESPACHADO,DESPACHADO,6.0,6.0,10.9998
P061406426041760527,0076233,21-04-147,DESPACHADO,DESPACHADO,2.0,2.0,3.6472
P061406426041760527,0076233,21-04-154,DESPACHADO,DESPACHADO,4.0,4.0,7.372
